Year,Quarter,Local Government Areas (LGAs),DwellingType,"First Quartile Sales Price
$'000s","Median Sales Price
$'000s","Third Quartile Sales Price
'000s","Mean Sales Price
$'000s","Sales
No.",Qtly change in Median,Annual change in Median,Qtly change in Count,Annual change in Count
2018.00,4.00,Total,Total,290.00,400.00,550.00,443.00,7916.00,-0.02,0.00,0.00,-0.20
2018.00,4.00,Total,Non Strata,294.00,411.00,560.00,452.00,6801.00,-0.02,-0.02,0.01,-0.20
2018.00,4.00,Total,Strata,275.00,355.00,465.00,388.00,1115.00,-0.02,0.01,-0.01,-0.22
2018.00,4.00,Albury,Total,240.00,308.00,420.00,345.00,258.00,0.04,-0.04,0.09,-0.19
2018.00,4.00,Albury,Non Strata,275.00,360.00,443.00,377.00,211.00,0.06,0.08,0.15,-0.18
2018.00,4.00,Albury,Strata,160.00,212.00,230.00,199.00,47.00,0.03,-0.10,-0.13,-0.20
2018.00,4.00,Armidale Regional,Total,275.00,348.00,445.00,371.00,129.00,0.07,0.02,0.59,0.00
2018.00,4.00,Armidale Regional,Non Strata,290.00,355.00,461.00,388.00,116.00,0.04,0.03,0.61,0.05
2018.00,4.00,Armidale Regional,Strata,175.00,199.00,245.00,218.00,s,-0.22,-0.20,0.44,-0.28
2018.00,4.00,Ballina,Total,490.00,600.00,735.00,649.00,175.00,-0.08,0.01,-0.10,-0.10
2018.00,4.00,Ballina,Non Strata,545.00,660.00,848.00,726.00,115.00,-0.05,0.03,-0.08,-0.13
2018.00,4.00,Ballina,Strata,394.00,465.00,595.00,503.00,60.00,-0.09,0.08,-0.13,-0.05
2018.00,4.00,Balranald,Total,-,-,-,-,-,-,-,-,-
2018.00,4.00,Balranald,Non Strata,-,-,-,-,-,-,-,-,-
2018.00,4.00,Balranald,Strata,-,-,-,-,-,-,-,-,-
2018.00,4.00,Bathurst Regional,Total,350.00,439.00,513.00,446.00,180.00,0.00,0.10,0.02,-0.19
2018.00,4.00,Bathurst Regional,Non Strata,374.00,452.00,540.00,461.00,164.00,0.02,0.10,0.01,-0.18
2018.00,4.00,Bathurst Regional,Strata,269.00,308.00,330.00,292.00,s,0.01,0.03,0.14,-0.30
2018.00,4.00,Bega Valley,Total,340.00,465.00,600.00,476.00,179.00,0.03,0.11,-0.10,-0.22
2018.00,4.00,Bega Valley,Non Strata,401.00,499.00,654.00,525.00,126.00,0.00,0.01,-0.11,-0.25
2018.00,4.00,Bega Valley,Strata,285.00,320.00,420.00,359.00,53.00,0.00,0.11,-0.07,-0.15
2018.00,4.00,Bellingen,Total,398.00,495.00,655.00,512.00,47.00,-0.03,-0.04,-0.02,-0.19
2018.00,4.00,Bellingen,Non Strata,420.00,544.00,660.00,526.00,44.00,0.02,0.06,-0.04,-0.24
2018.00,4.00,Bellingen,Strata,-,-,-,-,-,-,-,-,-
2018.00,4.00,Berrigan,Total,139.00,222.00,284.00,223.00,38.00,-0.16,-0.13,-0.07,0.06
2018.00,4.00,Berrigan,Non Strata,139.00,222.00,284.00,223.00,38.00,-0.18,-0.13,0.00,0.06
2018.00,4.00,Berrigan,Strata,-,-,-,-,-,-,-,-,-
2018.00,4.00,Bland,Total,93.00,150.00,247.00,175.00,s,-0.13,-0.06,0.10,0.10
2018.00,4.00,Bland,Non Strata,93.00,150.00,247.00,175.00,s,-0.13,-0.06,0.10,0.10
2018.00,4.00,Bland,Strata,-,-,-,-,-,-,-,-,-
2018.00,4.00,Blayney,Total,264.00,344.00,416.00,371.00,s,0.23,-0.10,-0.04,-0.45
2018.00,4.00,Blayney,Non Strata,264.00,344.00,416.00,371.00,s,0.23,-0.10,-0.04,-0.45
2018.00,4.00,Blayney,Strata,-,-,-,-,-,-,-,-,-
2018.00,4.00,Bogan,Total,-,-,-,-,-,-,-,-,-
2018.00,4.00,Bogan,Non Strata,-,-,-,-,-,-,-,-,-
2018.00,4.00,Bogan,Strata,-,-,-,-,-,-,-,-,-
2018.00,4.00,Bourke,Total,-,-,-,-,-,-,-,-,-
2018.00,4.00,Bourke,Non Strata,-,-,-,-,-,-,-,-,-
2018.00,4.00,Bourke,Strata,-,-,-,-,-,-,-,-,-
2018.00,4.00,Brewarrina,Total,-,-,-,-,-,-,-,-,-
2018.00,4.00,Brewarrina,Non Strata,-,-,-,-,-,-,-,-,-
2018.00,4.00,Brewarrina,Strata,-,-,-,-,-,-,-,-,-
2018.00,4.00,Broken Hill,Total,79.00,133.00,187.00,138.00,80.00,0.20,0.46,0.07,-0.18
2018.00,4.00,Broken Hill,Non Strata,79.00,133.00,187.00,138.00,80.00,0.20,0.46,0.07,-0.18
2018.00,4.00,Broken Hill,Strata,-,-,-,-,-,-,-,-,-
2018.00,4.00,Byron,Total,700.00,875.00,1103.00,982.00,123.00,-0.07,0.04,-0.15,-0.35
2018.00,4.00,Byron,Non Strata,735.00,910.00,1260.00,1045.00,90.00,-0.13,0.01,-0.19,-0.33
2018.00,4.00,Byron,Strata,655.00,740.00,980.00,810.00,33.00,0.06,0.08,0.00,-0.39
2018.00,4.00,Cabonne,Total,264.00,340.00,496.00,396.00,36.00,0.21,0.00,0.24,-0.33
2018.00,4.00,Cabonne,Non Strata,264.00,340.00,496.00,396.00,36.00,0.21,0.00,0.24,-0.33
2018.00,4.00,Cabonne,Strata,655.00,740.00,980.00,810.00,33.00,0.06,0.08,0.00,-0.39
2018.00,4.00,Carrathool,Total,-,-,-,-,-,-,-,-,-
2018.00,4.00,Carrathool,Non Strata,-,-,-,-,-,-,-,-,-
2018.00,4.00,Carrathool,Strata,-,-,-,-,-,-,-,-,-
2018.00,4.00,Clarence Valley,Total,290.00,369.00,465.00,387.00,253.00,-0.10,0.00,0.06,-0.15
2018.00,4.00,Clarence Valley,Non Strata,291.00,373.00,470.00,393.00,222.00,-0.09,-0.01,0.01,-0.15
2018.00,4.00,Clarence Valley,Strata,285.00,339.00,405.00,339.00,31.00,-0.16,-0.04,0.55,-0.14
2018.00,4.00,Cobar,Total,154.00,194.00,250.00,199.00,s,0.27,0.23,-0.33,-0.43
2018.00,4.00,Cobar,Non Strata,154.00,194.00,250.00,199.00,s,0.27,0.23,-0.33,-0.43
2018.00,4.00,Cobar,Strata,-,-,-,-,-,-,-,-,-
2018.00,4.00,Coffs Harbour,Total,405.00,499.00,630.00,517.00,315.00,0.01,0.04,-0.01,-0.23
2018.00,4.00,Coffs Harbour,Non Strata,455.00,550.00,660.00,567.00,225.00,0.04,0.04,0.00,-0.21
2018.00,4.00,Coffs Harbour,Strata,300.00,367.00,459.00,394.00,90.00,0.01,0.05,-0.03,-0.27
2018.00,4.00,Coolamon,Total,187.00,248.00,317.00,273.00,s,0.16,0.38,2.83,-0.15
2018.00,4.00,Coolamon,Non Strata,187.00,248.00,317.00,273.00,s,0.16,0.38,2.83,-0.15
2018.00,4.00,Coolamon,Strata,-,-,-,-,-,-,-,-,-
2018.00,4.00,Coonamble,Total,-,-,-,-,-,-,-,-,-
2018.00,4.00,Coonamble,Non Strata,-,-,-,-,-,-,-,-,-
2018.00,4.00,Coonamble,Strata,-,-,-,-,-,-,-,-,-
2018.00,4.00,Gundagai,Total,184.00,225.00,311.00,253.00,47.00,-0.10,0.00,-0.04,-0.06
2018.00,4.00,Gundagai,Non Strata,184.00,225.00,311.00,253.00,47.00,-0.10,0.00,-0.04,-0.06
